Text,Annotator 1,Annotator 2,Annotator 3,Sentiment,SourceSheet,Unanimous,Stratum
Herat ki baat ye hai kay Sheheryar Munawwar ne kabhi bhi apnay kisi interview mein iss baat kaa ziker nahi kiya kay wo Sultana Siddiqui kaa bhateeja hai. Ye baat mujhay bhi aaj hee pata chali.,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
shukar hai kisi ne to likha. Aur likha bhi wohi kuch jo maine mehsoos kiya.,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
bharay baba se kiya wada bhi nibhana hai aur mjhe rohi pa bilkul tars nahi aya aur na Hi os ki hamdardi ma ose room se nikalwany ka wait tha.bus yeh tha k rohi nikalay gi tabhi wali ko kuch bata sakay gi na.isliya bus bechani Thi k kab proudy stick (roohi) bahar ai aur call karay.,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
Diyar-e-Dil ki baat ho aur saath mai Jackson Heights ki to maza kharab ho jata hai. ;),negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
Ajj kal rohi gareeb hoe ve hai iss liye :),negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
Achi baat hai:) Comment krne ka thank you.,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
'aurat jub shukk krti hai to ghar jorny lgti hai lekin jub mard shukk karta hai to ghar tor deta hai',neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
mery khiyal se Salahu ko aik bar Mannu se baat kr leni chahiye thi....,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
"Thank you so much Candle, hamesha ki tarhaan appreciate karne ke liye aur aik humorous comment dene ke liye.",positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
Lol Candle aap ne tou sab chrcters k bikul sahi names k sath define kiya hy.:D Rameez pshyco hone k sath sath Girgitt bhi tha..jo her sence mein apna rung badalta rehta tha..:D,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
Nhi....agy clip nhi dekhi app ny??,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
Daekho jaha insaan hae waha Khair bhee hae aur Shar bhee! Yeh sik'kay kae 2 rukh hae hum insano kae!,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
Agar ho sakhai to please Bin Roye bhi upload kardi jiye ga I really want to watch it :´(?,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
"Meinne recently jo dekhe un mai Oh My Venus aur She Was Pretty bohat achay the, matlab simple si stories hain",positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
Dhandli na hoy hoti to Imran Khan ne ye sab system thek b kr dena tha.,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
Sir me ap se ye kehna chahta hu k mere papa bahir saudia me kam karte hai or jo kafeel hai wo lysence nai bana kar de raha plzz kuch btaye or istikhara kar ke mujhe btaye plzzz,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
. Ab ppp k doston ko corruption me pakra ja raha he to Zardari saheb Misak e Jumhuriyat k waday yad dilany me 100% haq bejanib han.....,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
"Altaf Hussain mulk k khilaf London me biyan bazi karta he or Pakistan me rabta comittyi us ki taeid karti he. Pakistan me bohet sari courts ne Altaf k worrent giriftari jari kiye han or bohet log hukumat se matalba karty han k Altaf ko interpol ki madad se wapis laya jay. hairat ki bat he Altaf to Londan me beitha he, jo us ki taaeid karty han or Altaf k haq me safaiyan or beyan deity han, un ko giriftar kun nhi kiya jata ?",negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
Kala Pesa Pyar is very interesting please rat ko b repeat krdya kre 10 bj light h n hoti,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
ap ka show jaisa b ho ap k,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
sabhi chanals achy han lakin mujhy comedy programs ziada pasand han jesay keh,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
jo pakistani dosre molko mein qaid hain in k liye tehreek chalai jae,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
masaallah allah apko bahot zyada tarakki ata farmaye .me gujarat .india.,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
mery peer ka fezaan jari rahy ga insha Allah .........,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
"mera ye comments khas tor py mery bhai Gulam e Saadat of Suriya sahib keliye ha,to jnab bhai(Yoon to Syad bhi ho,Butt bhi ho,Rana bhi ho,Jutt bhi ho,Afghan bhi ho,Bloch bhi ho,muhajir bhi ho,Tum sabhi kuch ho,Batao keh tum musalman bhi ho?sab apna ehtsab kareen or apny ander jhank k dekheen plz k ap waiqy 1 musalman ho?bicoz 1 musalman kabhi firqa waraiyat or intshar ko philany ki bateen nhi karta,1 sacha musalman Allah py yaqeen rakhta hai,jis ne Hazrat Adam(a.s)ko bin maa bap k paida kiya,Hazrat Ismaeel(a.s)ki Qurbani k badly Abe zum zum diya,or Hazrat younas(a.s)ko 40 din fish k paet ma zinda rakha,Hazrat yousaf (a.s)ko Lamehdood husan se nawaza",neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
aslam-u-alikum to all...! please mujhy ye bta dain k jo 24 channel ki documentry ka time kiya hai please bta dain......,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
ek piyar kahani buhat acha drama tha....,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
mujy jeeto pakistan acha lagta hai bcoz iss show k host Fahad bhai hain i like him very much,positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
"Sad episode, aaj ki epi dekh kr Maanu aur Salahuddin k liye boht afsoos hoa....",negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
bkwas kar dia hai iss drama ko... ashiq sahib ko apni lage hue hai jab px waldain to apna bacho k lia kuch karty hai 2no betia ghr se bahr hai lekin iss ashiq sahib ki apna drama khatm nahe ho rahy,negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
kisi bhi msle ka hal nikalne k lye use positive way me solve krne ki koshish krni chaye jo k in 2no baap beti ne nhi ki.,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
"Reality main koi lrki esa kr bhi le to wahid aitraz non Muslim hone PR hoga. Ghalat image dikhaya! Phir jb use aik Pakistani Muslim khatoon multi hain, woh itniiiii lalchi dikhai K us se sb kuch chheen leti hai. :",negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
pak k kon kon se dramas dekhe hen ap ne???,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
Acha jahan pr star hai usko fill krna hai?,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
"Koi baat nhi....right, Minal ki ankhein thori bari hain Aiman se.",positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
yeh kaunsa cartoon hai..? :),neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
Great job Salam Apki Khidmat Hamara lia Jo hain Sir Thanku,positive,positive,positive,positive,politics,True,politics§positive
Allah aapko kamiyab kry n In sha Allah next Pm aap he hngy.awaam ki awaaz Imran khan.,positive,positive,positive,positive,politics,True,politics§positive
"Loha Lohe ko Kat ta hai VIP ne VIP ko Mara, Bachchi ko VIP aisa nahi, HamidMir ne to Khud per chala dia",negative,negative,negative,negative,politics,True,politics§negative
"Talaaq ho nahin rahi, TALAAQ HO Gai. Sharm naal Doob ke Mar Ja IK Niazi.",negative,negative,negative,negative,politics,True,politics§negative
barra kaam ker diya hy ... IK tum boht barry rangbaaz ho,negative,negative,negative,negative,politics,True,politics§negative
ne khan ko har pehloo dekhaaya,neutral,neutral,neutral,neutral,politics,True,politics§neutral
Boht Acha ho ha Inshallah,positive,positive,positive,positive,politics,True,politics§positive
bichara lakda...  Zindagi bhar taunts bardasht karay ga. ????,negative,negative,negative,negative,politics,True,politics§negative
khan ko rokna mushkil hi nahi..,positive,positive,positive,positive,politics,True,politics§positive
india kisi be sOrat pakistan kO apna dOst nai bnana chata hai.,negative,negative,negative,negative,politics,True,politics§negative
jotian Marty hain in k Sar mei hm sb mil k Khan sb...,negative,negative,negative,negative,politics,True,politics§negative
sab ko kiyani ke pichey laga kar saudi se deal ki jayge. .lol,neutral,neutral,neutral,neutral,politics,True,politics§neutral
ju ghalt kry ga wo bharey ga b...,negative,negative,negative,negative,politics,True,politics§negative
pakistan ki badqismati hi yahi Rahi hae k ihtasab sirf kamzoor logoo ka hota hae.,negative,negative,negative,negative,politics,True,politics§negative
saab g..ap b kisi mard ki bat kiya krein...us chawwl ki nai..uski koi zuban hai ??,negative,negative,negative,negative,politics,True,politics§negative
Arshad bhai sind may tu aapku hur kaarwai sahi lag rahi thi ab kiya huwa,negative,negative,negative,negative,politics,True,politics§negative
Alhamdolillah yeh munafiq log janay waley hein kum bus chuk k rakho allah aap key madad karay aameen,positive,positive,positive,positive,politics,True,politics§positive
Achi ban kr to toot chuki hun,neutral,neutral,neutral,neutral,politics,True,politics§neutral
KHABR LAGAI HA TU NAAM BHI BATANE PARAIN GE.SARI QUOM CHONK UTHI HAMID MEER KI ISS KHABER SE.,neutral,neutral,neutral,neutral,politics,True,politics§neutral
hamid mir Allah Tuje hidayat de gadhari chorne ki,neutral,neutral,neutral,neutral,politics,True,politics§neutral
jab tak boots hain. Koi taqdeer maqdeer nahi badleda. Bas Askari-Maadanyat jald start hongi.,negative,negative,negative,negative,politics,True,politics§negative
honi chahiyay thii..ending Iqbal Day holiday was wrong message,negative,negative,negative,negative,politics,True,politics§negative
kya farq parta hai chutti say .... Sb chuttiya cancel honi chahiye,negative,negative,negative,negative,politics,True,politics§negative
"sir mai chahta hn k aap aik talk show is py b kr ly... ""Tableegi ijtema mai kitny paisy lagaingy logo k""",neutral,neutral,neutral,neutral,politics,True,politics§neutral
metro bus k route per rahney walo say malum kerey un ko kitni saulaht us bus say hay sirf siasat chamkaney har chease per nukta chini achi nahi musbat siasat is ko nahi khatey,positive,positive,positive,positive,politics,True,politics§positive
khan hm apki r afridi ki waja se peshawar zalmi ko support kr rhy hain.,positive,positive,positive,positive,politics,True,politics§positive
two months k baad kia hoga?,neutral,neutral,neutral,neutral,politics,True,politics§neutral
Masha Allah  Allah pak janat main jhaga da,positive,positive,positive,positive,politics,True,politics§positive
khan hr kisi ka apki tarah bara dil hona chahiye.u r great khan sb.,positive,positive,positive,positive,politics,True,politics§positive
sikander bakht aik lafz Afridi ke khilaf nhi bol sakta kyu ke Afribi PCB ka jamai babu he...,positive,positive,positive,positive,politics,True,politics§positive
Pak bht important role pay kr sakta ha agr govt aur army same decision kren. .,positive,positive,positive,positive,politics,True,politics§positive
ye hota hai leader....ye hota hai vision...lahore mein betha shaks jisay saudia mein nazar aa jaye,neutral,neutral,neutral,neutral,politics,True,politics§neutral
Apne geeraban mein b jhanko,neutral,neutral,neutral,neutral,politics,True,politics§neutral
khaan sb khanay mei Kia paka hai?,neutral,neutral,neutral,neutral,politics,True,politics§neutral
@imrankhanpti haayye mashallah IK ap na dua lane wala kam kia hai,positive,positive,positive,positive,politics,True,politics§positive
izaz khan ap ka  tiger ap ko dil s salaam kehta hai hamara Jan ap pay qurban hay I love u.,positive,positive,positive,positive,politics,True,politics§positive
Please sir Apni party ma Shahid Khan Afridi ko shamil kare,neutral,neutral,neutral,neutral,politics,True,politics§neutral
Han g main b inhi ka dekhta hu beshak Shoaib bhai ka tweet ho Ahmad shahzad ka ye Hafeez ka Ab Khan sb ka b,neutral,neutral,neutral,neutral,politics,True,politics§neutral
overseas pakistanyano kiliy b kuch kare sir g votes kiliyi ?,neutral,neutral,neutral,neutral,politics,True,politics§neutral
@Hafsa hnh :/ :/,neutral,neutral,neutral,neutral,food and recipes,True,food and recipes§neutral
@Fanii ab nhi mily ga hunhhhhhhhhhhhhhh,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
@kuku20 han kanjoss ho na i know :p,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
Aaj mein ene try kiye :rolleyes:,neutral,neutral,neutral,neutral,food and recipes,True,food and recipes§neutral
"Mein ne pehly khilay hain,baad mein bnay hain :D",neutral,neutral,neutral,neutral,food and recipes,True,food and recipes§neutral
bazar he nhi hai yahan :p,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
ok.thx dear.m also good cook.aur salad decoration bh bht shok se krti hu,positive,positive,positive,positive,food and recipes,True,food and recipes§positive
hr suba aap ko dua daita hun... :),positive,positive,positive,positive,food and recipes,True,food and recipes§positive
kya hoa sarah:p:p,neutral,neutral,neutral,neutral,food and recipes,True,food and recipes§neutral
chalo cooking nai b karni tou kam az kam dishes k nam hi aney chahye hain,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
sis ap zaror try krna ma na b kiya bht achy bny thy,positive,positive,positive,positive,food and recipes,True,food and recipes§positive
wonderful...... khane or sajane dono k liye..very nice:thumbs up:,positive,positive,positive,positive,food and recipes,True,food and recipes§positive
ma to ap ko tag krti hun pta ni kya problem hai sis:unsure:,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
i loveeeeeeeeeeeeeee afghanii pulao,positive,positive,positive,positive,food and recipes,True,food and recipes§positive
han han theek hai,positive,positive,positive,positive,food and recipes,True,food and recipes§positive
Ohh hoo wooow:wideyed:kya bt ha many tu suna ha thora mushkil ha gulab jamun bnana pr tm tu kamyab ho gai ho kya bt ha.:thumbs up:main b try kro gi jb time mila ;),positive,positive,positive,positive,food and recipes,True,food and recipes§positive
nikammy logo,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
ye to hamara apna shoq hai and my mother is too alone so me and my br0 help her and pleased her by preparing etc etc dishes hahaaha,positive,positive,positive,positive,food and recipes,True,food and recipes§positive
Heheheh ap k customer to pakey hai ..,neutral,neutral,neutral,neutral,food and recipes,True,food and recipes§neutral
"mera aik uni fellow hai us ko bhut pasand hai jub bhi outing per jate the wo inhi ki prawns aur shrims ki hi zid krta tha,,,per hum baqi us ki aik nai chalne dete the,,:happy:",neutral,neutral,neutral,neutral,food and recipes,True,food and recipes§neutral
":eek: ab ye din bhi ane the,,,mai mar kio nai gya ye din dekhne se pehle:p:giggle:",negative,negative,negative,negative,food and recipes,True,food and recipes§negative
acha yar shaadi na kar warna lahore kai hospitals mai females patients ki booking full hojaaege ..,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
nai mujhe maar se dar lagta hai:p,negative,negative,negative,negative,food and recipes,True,food and recipes§negative
