word,sentiment,score,source,category,script
sukoon,positive,0.8,web-compiled-citations,polarity,roman-urdu
dil khush,positive,0.8,web-compiled-citations,polarity,roman-urdu
dilkush,positive,0.8,web-compiled-citations,polarity,roman-urdu
sahi kaam,positive,0.8,web-compiled-citations,polarity,roman-urdu
kaam sahi,positive,0.8,web-compiled-citations,polarity,roman-urdu
tareef,positive,0.8,web-compiled-citations,polarity,roman-urdu
tarif,positive,0.8,web-compiled-citations,polarity,roman-urdu
mashallah,positive,0.8,web-compiled-citations,polarity,roman-urdu
mashaallah,positive,0.8,web-compiled-citations,polarity,roman-urdu
mashallah!,positive,0.8,web-compiled-citations,polarity,roman-urdu
jazakallah,positive,0.8,web-compiled-citations,polarity,roman-urdu
jazak allah,positive,0.8,web-compiled-citations,polarity,roman-urdu
shukriya,positive,0.8,web-compiled-citations,polarity,roman-urdu
shukria,positive,0.8,web-compiled-citations,polarity,roman-urdu
wah wah,positive,0.8,web-compiled-citations,polarity,roman-urdu
waah waah,positive,0.8,web-compiled-citations,polarity,roman-urdu
dil jeet liya,positive,0.8,web-compiled-citations,polarity,roman-urdu
maza aa gaya,positive,0.8,web-compiled-citations,polarity,roman-urdu
maza agaya,positive,0.8,web-compiled-citations,polarity,roman-urdu
maze ka,positive,0.8,web-compiled-citations,polarity,roman-urdu
mazay ka,positive,0.8,web-compiled-citations,polarity,roman-urdu
sasta,positive,0.8,web-compiled-citations,polarity,roman-urdu
pyaari,positive,0.8,web-compiled-citations,polarity,roman-urdu
dildar,positive,0.8,web-compiled-citations,polarity,roman-urdu
zinda dil,positive,0.8,web-compiled-citations,polarity,roman-urdu
kamal kar diya,positive,0.8,web-compiled-citations,polarity,roman-urdu
kamaal kar diya,positive,0.8,web-compiled-citations,polarity,roman-urdu
kamaal ka,positive,0.8,web-compiled-citations,polarity,roman-urdu
umdah tareen,positive,0.8,web-compiled-citations,polarity,roman-urdu
umda tareen,positive,0.8,web-compiled-citations,polarity,roman-urdu
behtareen se bhi upar,positive,0.8,web-compiled-citations,polarity,roman-urdu
faltu,negative,0.8,web-compiled-citations,polarity,roman-urdu
baykar,negative,0.8,web-compiled-citations,polarity,roman-urdu
baykaar,negative,0.8,web-compiled-citations,polarity,roman-urdu
be kar,negative,0.8,web-compiled-citations,polarity,roman-urdu
galat,negative,0.8,web-compiled-citations,polarity,roman-urdu
galt,negative,0.8,web-compiled-citations,polarity,roman-urdu
jhoot,negative,0.8,web-compiled-citations,polarity,roman-urdu
jhuta,negative,0.8,web-compiled-citations,polarity,roman-urdu
jhooti,negative,0.8,web-compiled-citations,polarity,roman-urdu
naraz,negative,0.8,web-compiled-citations,polarity,roman-urdu
narazgi,negative,0.8,web-compiled-citations,polarity,roman-urdu
ghussa,negative,0.8,web-compiled-citations,polarity,roman-urdu
gussa,negative,0.8,web-compiled-citations,polarity,roman-urdu
mehnga,negative,0.8,web-compiled-citations,polarity,roman-urdu
mahenga,negative,0.8,web-compiled-citations,polarity,roman-urdu
mehengi,negative,0.8,web-compiled-citations,polarity,roman-urdu
mehngay,negative,0.8,web-compiled-citations,polarity,roman-urdu
der ho gai,negative,0.8,web-compiled-citations,polarity,roman-urdu
der hogayi,negative,0.8,web-compiled-citations,polarity,roman-urdu
masla,negative,0.8,web-compiled-citations,polarity,roman-urdu
maslay,negative,0.8,web-compiled-citations,polarity,roman-urdu
slow,negative,0.8,web-compiled-citations,polarity,roman-urdu
hang,negative,0.8,web-compiled-citations,polarity,roman-urdu
hang hota,negative,0.8,web-compiled-citations,polarity,roman-urdu
hang hona,negative,0.8,web-compiled-citations,polarity,roman-urdu
lag,negative,0.8,web-compiled-citations,polarity,roman-urdu
laggy,negative,0.8,web-compiled-citations,polarity,roman-urdu
bug,negative,0.8,web-compiled-citations,polarity,roman-urdu
boriyat,negative,0.8,web-compiled-citations,polarity,roman-urdu
boreiyat,negative,0.8,web-compiled-citations,polarity,roman-urdu
kamzor,negative,0.8,web-compiled-citations,polarity,roman-urdu
kamzori,negative,0.8,web-compiled-citations,polarity,roman-urdu
zalim,negative,0.8,web-compiled-citations,polarity,roman-urdu
nafrat,negative,0.8,web-compiled-citations,polarity,roman-urdu
afsos,negative,0.8,web-compiled-citations,polarity,roman-urdu
afsoos,negative,0.8,web-compiled-citations,polarity,roman-urdu
pachtawa,negative,0.8,web-compiled-citations,polarity,roman-urdu
pachtaawa,negative,0.8,web-compiled-citations,polarity,roman-urdu
afsurdah,negative,0.8,web-compiled-citations,polarity,roman-urdu
afsurdgi,negative,0.8,web-compiled-citations,polarity,roman-urdu
beraham,negative,0.8,web-compiled-citations,polarity,roman-urdu
berahmi,negative,0.8,web-compiled-citations,polarity,roman-urdu
tang,negative,0.8,web-compiled-citations,polarity,roman-urdu
tang karna,negative,0.8,web-compiled-citations,polarity,roman-urdu
thakawat,negative,0.8,web-compiled-citations,polarity,roman-urdu
acha nahi,negative,0.8,web-compiled-citations,polarity,roman-urdu
achha nahi,negative,0.8,web-compiled-citations,polarity,roman-urdu
accha nahi,negative,0.8,web-compiled-citations,polarity,roman-urdu
acha nahi laga,negative,0.8,web-compiled-citations,polarity,roman-urdu
achha nahi laga,negative,0.8,web-compiled-citations,polarity,roman-urdu
itna,,0.5,linguistic-modifier,intensifier,roman-urdu
itni,,0.5,linguistic-modifier,intensifier,roman-urdu
itne,,0.5,linguistic-modifier,intensifier,roman-urdu
bahut hi,,0.5,linguistic-modifier,intensifier,roman-urdu
zyada hi,,0.5,linguistic-modifier,intensifier,roman-urdu
kaafi zyada,,0.5,linguistic-modifier,intensifier,roman-urdu
thori thori,,0.5,linguistic-modifier,diminisher,roman-urdu
thora hi,,0.5,linguistic-modifier,diminisher,roman-urdu
zara si,,0.5,linguistic-modifier,diminisher,roman-urdu
bus thora,,0.5,linguistic-modifier,diminisher,roman-urdu
nhi,,0.5,linguistic-modifier,negator,roman-urdu
nahee,,0.5,linguistic-modifier,negator,roman-urdu
bilkul naheen,,0.5,linguistic-modifier,negator,roman-urdu
bilkul bhi na,,0.5,linguistic-modifier,negator,roman-urdu
