Text,Annotator 1,Annotator 2,Annotator 3,Sentiment,SourceSheet,Unanimous,Stratum
r jab sharmeen  or malala jesi begherat yahudi aurton per fakhr karo gy haar tumhara muqadar hogi.,negative,negative,negative,negative,sports,True,sports§negative
Allah ap Ko kamyab kry.tum jeeto ya haro hamien tum sy payar hy.pak win,positive,positive,positive,positive,sports,True,sports§positive
apna aur baqi sub ka bhot sara khyal rakhy ga love you alot all of you,positive,positive,positive,positive,sports,True,sports§positive
best of luck malik ALLAH ap sub ko apny hifzo eman main rakhy AMEEN,positive,positive,positive,positive,sports,True,sports§positive
shoaib bhai s dfha t20 wc ma achi prfamis krna please mayos na krna qk ma apka boht bhra fan hun,positive,positive,positive,positive,sports,True,sports§positive
lala In Shaa Allah zaroor jeetain gay 🏆😊😊 humari duain app ka Sath hain 😍❤❤ #BestOfLuck,positive,positive,positive,positive,sports,True,sports§positive
Shahid Bhai Duaye app sab k sath hain Insha'Allah Achi performance hogi app sab ki :) Khayal rakhiye ga apna or Team ka :),positive,positive,positive,positive,sports,True,sports§positive
I LOVE U REALLY LOVE U,positive,positive,positive,positive,sports,True,sports§positive
mayosi kofr ki taraf lejati ha,negative,negative,negative,negative,sports,True,sports§negative
laikin sir ap nai puri Qum ko Mayos kar diya hai.,negative,negative,negative,negative,sports,True,sports§negative
Jo aap ko India main mili hai usse muhabbat nahi security khte hain!,negative,negative,negative,negative,sports,True,sports§negative
bhai t20 ma open krlo mehaebani .. Koi 2 matches k lia he said KR lo .. :(,positive,positive,positive,positive,sports,True,sports§positive
bhaar mai gaya T20! Zaleel huker hi ao gay.Yah batao acc 2 u you were loved more in india than Pak?Shame on YOU!!,negative,negative,negative,negative,sports,True,sports§negative
Yeh Banda Cricket Khailtay Khailtay Budha Ho Gaya Laikin Isnay Cricket Ki ABCD Bhi Nahi Seekhi.,negative,negative,negative,negative,sports,True,sports§negative
Inna lillahi wainna illaihi rajaioon,neutral,neutral,neutral,neutral,sports,True,sports§neutral
ho very sad ...Allah jannat me jaga de!,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Assalam o aliykum lala kyaaaa haaalll ha apka,positive,positive,positive,positive,sports,True,sports§positive
alla pak un ko jannat ul firdoos m jagah ata frmay ameen,positive,positive,positive,positive,sports,True,sports§positive
shahid bhai mere se baat nahi ki app ne lala please aj online hen to baat nahi karte please came on facebook and talk to me,negative,negative,negative,negative,sports,True,sports§negative
lala ye dp bohat achi hai..,positive,positive,positive,positive,sports,True,sports§positive
Apki har picture bohat achi hai lala,positive,positive,positive,positive,sports,True,sports§positive
ye request apk pas ec lye lekr aaya hon qk ap insb kamon me MASHA ALLAH  se bht aage hn. choti c request h shahid bhai apse,positive,positive,positive,positive,sports,True,sports§positive
"apmi parishani sbk samne bayan nahi kr skta, plz shahid bhai meri thori c help kr den",negative,negative,negative,negative,sports,True,sports§negative
salam shahid bhai. ek choti c request h shahid bhai mujhe kch paison ki bht zrurt h me bht parishan hon,negative,negative,negative,negative,sports,True,sports§negative
tum khud kab marogay kanjer ghatiya insan,negative,negative,negative,negative,sports,True,sports§negative
reply b kar dyn hum gareebo ko b bhai jan,negative,negative,negative,negative,sports,True,sports§negative
Allah di vo bakhi aao taso tol kor vala ta di Sabar darki Ameen,positive,positive,positive,positive,sports,True,sports§positive
"Aameen, ALLAH apne jawar e rehmat ma jga ata farmaye",positive,positive,positive,positive,sports,True,sports§positive
"So Sad BooM BooM, Allah Azeez00n ko Saber Atta kary & Un k0 Janat main Aalla Mukam",positive,positive,positive,positive,sports,True,sports§positive
but naiki must be hidden... As its sad,neutral,negative,neutral,neutral,sports,False,sports§neutral
GHUTYAA SAWAL KE BAAD GHUTYAA PERFORMANCE,negative,negative,negative,negative,sports,True,sports§negative
AFRIDI ...AB TOO PATLI GALI SE NIKAL LE ...APNI SHAKAL NAHEN DEKHANA...MEDIA KO,negative,negative,negative,negative,sports,True,sports§negative
tuje sherem ani chahyeh .egeret ahmed shezad or umer khatmal tere chamchay hain,positive,negative,positive,positive,sports,False,sports§positive
150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune  bas apna nam show kia,negative,negative,negative,negative,sports,True,sports§negative
PLAYER ....#1 RUN BAMA KR OUT...WAH KEYA KARKARDGI THEE....GHAROOR KA SAR NEECHAAA... BHAI AB RETIRE HO,positive,positive,positive,positive,sports,True,sports§positive
GHARROOOR KA SAAAR NEEECHAAA....ES KO TEAM SE NI9KAALOOO SALE KO,negative,negative,negative,negative,sports,True,sports§negative
GAROOR KA SAR NEECHAA...INSHALLAH AB TOO RETIRE HO JAA,negative,negative,negative,negative,sports,True,sports§negative
"pr media acha kam kabhi nhi dekhai ga alway,s negative new,s",negative,negative,negative,negative,sports,True,sports§negative
"i'll say Umar Akmal phir kabhi na kabhi perform kerta hai,",neutral,positive,neutral,neutral,sports,False,sports§neutral
hmmm achi baat hai,positive,positive,positive,positive,sports,True,sports§positive
Lala Jo Bhi Decision Lna Soch Smjh K Lena...But Hm Apko Action Mai Dekhna Chahty Hn Bhai,neutral,neutral,neutral,neutral,sports,True,sports§neutral
bhai ye jayasuriya ka duck ka record break krega,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Lala Dil se salam Pak ka ap ka ly 😊,positive,positive,positive,positive,sports,True,sports§positive
Shahid Bhai inshallah final him dobara India she khailain gay or batayein gay k Pakistan kia he or afridi kia he......,positive,positive,positive,positive,sports,True,sports§positive
As its sad,negative,negative,negative,negative,sports,True,sports§negative
ALLAH AP KO HAMYSHA KHUSH RAKHY AFRIDI JI AP JASY GREAT LOG BHOT KAM PYDA HOTY HAN,positive,positive,positive,positive,sports,True,sports§positive
subhan Allah bhai kya bat hy,positive,positive,positive,positive,sports,True,sports§positive
mushtaq bhai shahid bhai se kahen online ayn plzzzz,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Hahaha Lhr Ajao na Sb Sath McDonald's jaen gay 😄 Eeeeeeeeee😍 @rizvi_j,neutral,neutral,neutral,neutral,sports,True,sports§neutral
YoooOoooo!💃,positive,positive,positive,positive,sports,True,sports§positive
woww!! Lkn car apki hogii lalaa😉.. bill ayeshh degiii.. Aur mai burgur khaugii😂😂😂,positive,positive,positive,positive,sports,True,sports§positive
Main agay bethungi plissssss!🙈🙈🙈,neutral,neutral,neutral,neutral,sports,True,sports§neutral
"aur agr media ki baat h to, unka business nhi chalta jab tak issue na banaye, aap k waja se channel chal rhe h unke",negative,negative,negative,negative,sports,True,sports§negative
sir jahil media ka koi illaj nahee you just enjoy and all the best for the series 👍🏻,neutral,positive,neutral,neutral,sports,False,sports§neutral
haha ! 😁 media ko to chor hi den pagal hai 😒,negative,negative,negative,negative,sports,True,sports§negative
media walo ko phr moka mil gea ...ohhh Allah hi media wlo ko smjha dkta h y hr kci k bs sy nahir h deeth mtii ely,neutral,negative,neutral,neutral,sports,False,sports§neutral
lala daikhai mai choti si pyari si behan hu apki . Reply dai bhe dain😞,positive,positive,positive,positive,sports,True,sports§positive
lala pak media ko kuch ziada he pyar howa hy aj kal apsy lagta hy😉👍😛],positive,positive,positive,positive,sports,True,sports§positive
too insan ko khud akal honi chaye na nz ki currency pakistan se leke atte.aik app akal mand hain aur dosra wo ahmad shahzad,positive,positive,positive,positive,sports,True,sports§positive
koi bt nh lala g hota hai kbhi kbhi aesa media tou bss tamasha hi bnata hr cheez ka,negative,positive,negative,negative,sports,False,sports§negative
lala bus achi tarha khylo aur kashmiri ko khush karoo,positive,positive,positive,positive,sports,True,sports§positive
lala ap ko media tu yad rha per meri request ni 😰😭😰😭😭,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Lala k pass Curency nai ti NZ Land ki Mc'Donald. per fan ne Di bus yehi,negative,negative,negative,negative,sports,True,sports§negative
Shahid Bahi Ap Mere Jahn Ho Ap Mery Sab Sy Behtreen Player Ho,positive,positive,positive,positive,sports,True,sports§positive
Mery 5 Behtreen Player Hain Pori Dunyia Main,positive,positive,positive,positive,sports,True,sports§positive
shahid bhai ap meri sari family k favourit player hain.main ap ko mare ghar ane ki daway deta hon.main mazaaq nahi kar rha main dil=l se ap ko dawat de raha hon,positive,positive,positive,positive,sports,True,sports§positive
plzzzzzzzzzzzzzzzzz mery sath ba kary,neutral,neutral,neutral,neutral,sports,True,sports§neutral
afridi bhai plzzzzzzzzzzzzz koi rpl kary me ap se mil na chahta hoon,neutral,positive,neutral,neutral,sports,False,sports§neutral
plzzzzzzzzzzzzzzzzzzzzz mery sub se badi khoash ap se milni ki hain,positive,positive,positive,positive,sports,True,sports§positive
me ap se milna chahta hoon plese muje apna numb dijea me sialkot ka rehne wala hoon plz plz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz me be ap ki tar ha bana chahta hoon,neutral,positive,neutral,neutral,sports,False,sports§neutral
shahid bhai meri sub se badi khoaish ap se milna hain,positive,positive,positive,positive,sports,True,sports§positive
assalam o alaikum shahid bhai,positive,positive,positive,positive,sports,True,sports§positive
shahid bai mai ap ko bohat mis karta hon,neutral,positive,neutral,neutral,sports,False,sports§neutral
Karachi jeeta....zalmi ka abhi chal raha hai.,positive,positive,positive,positive,sports,True,sports§positive
"Karachi ki bowling n fielding dekh kr yhi lg rha tha k Karachi hi jeety ga, dekh rhi ho app match??",positive,positive,positive,positive,sports,True,sports§positive
Han kafi acha khela aj ka match khi ne.abhi zalmi ka dekh rahi hon.,positive,positive,positive,positive,sports,True,sports§positive
"ALLAh ALLAH, kon out hoa hai??",negative,negative,negative,negative,sports,True,sports§negative
Usman ye shahid bhai ka num ha,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Lala Wajiii ka wish udhaar raha ap per.. ?? lY both!:)?? Goodnight!!,positive,positive,positive,positive,sports,True,sports§positive
o mera hai wo tera hi hai,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Yrr Lalaaa se bolo naa ky wo mujy b wish karain plzzzzzzzzzzzz ???? plzz Lalaaa pl,positive,positive,positive,positive,sports,True,sports§positive
Jahilon se behas nhi karty.,negative,negative,negative,negative,sports,True,sports§negative
Aray dimagh kharab kr raha hai,negative,negative,negative,negative,sports,True,sports§negative
but hamari qismat pata nahi kab jage gi??,negative,negative,negative,negative,sports,True,sports§negative
Lalaaaa mujy b happy belated b'day boldain plzz.. Meri b'day jan 14 ko thi,positive,positive,positive,positive,sports,True,sports§positive
Zamana guzar gaya aap sey bat nhi Hui :\ Miss Yuh,negative,negative,negative,negative,sports,True,sports§negative
Mjhe kyun smile nhi dete kbse kehrhi hon apko,negative,negative,negative,negative,sports,True,sports§negative
lala mujey tow bohut time sey reply nhi mila,negative,negative,negative,negative,sports,True,sports§negative
asalam alekum baba wo Lala jani sange yo plz reply roko dawora nan,positive,neutral,positive,positive,sports,False,sports§positive
Ap dono tu mil Bhi letay hen...,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Jinab e Aale hm log b yha hai ;!! Waiting for u. To reply us! Koi irada ???,neutral,neutral,neutral,neutral,sports,True,sports§neutral
ap ne Acha kya inhen kisi cheez ki koi tameez hi nhi Pata nhi khud ko kya samjhte hn aik camera utha k. shame journalists.,negative,negative,negative,negative,sports,True,sports§negative
sub Sala Apna Apna Number Bharaaaaaaaaaaaaaaaarey ??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Lala ap Pakistan ke Hero hain. Ap ise bull shit media ke agey na jhokna,neutral,positive,neutral,neutral,sports,False,sports§neutral
sahe kaha lala apni aisa he kehna chahye Media ko,positive,positive,positive,positive,sports,True,sports§positive
mushkilain tw ayegi zid pe tm Array Raho juro gy tw jan0gy,negative,negative,negative,negative,sports,True,sports§negative
Allah tumhe abad rakhe Aur aesi hi rehna hum sb Pakistani ap k sath hai,positive,positive,positive,positive,sports,True,sports§positive
Chat karlen naaaaaaaaaaaaaa,neutral,neutral,neutral,neutral,sports,True,sports§neutral
yani k apki team???? hm sab ki team??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
wesy to Karachi humari jan hai lakin jah lala wah afridian we love u lala we love Peshawar zalim :*,positive,positive,positive,positive,sports,True,sports§positive
Agar Kabhi Acha Khaila Hota To Ya Din Na Daikhnna Parta Jo Pakistan Ka Hall Kia hai Wohi #PeshawarZalmi  Ka bhi Karo Ga,neutral,negative,neutral,neutral,sports,False,sports§neutral
Great Afridi batana hy k kabab kesy bany hein mein wapas lay loon gi acha...tc,positive,positive,positive,positive,sports,True,sports§positive
Plzzzzzzz chat session kar lain naaaa hmary sat b plzzzz,neutral,neutral,neutral,neutral,sports,True,sports§neutral
aap hme bilkul he bool gye hai ??,negative,negative,negative,negative,sports,True,sports§negative
Afridi kahe tou Aap k liye Jann bhi hazir hai Ramsha Khan.,neutral,positive,neutral,neutral,sports,False,sports§neutral
Sach much. Afridi k liye sab kuch hazir,positive,positive,positive,positive,sports,True,sports§positive
@IrfaanKhanPTI good mara but agr galti karo to kuch bhi hazir nhi ...,negative,negative,negative,negative,sports,True,sports§negative
lala jani mujhay kuch poochna tha ??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Je je zaror pochu mushki..,neutral,neutral,neutral,neutral,sports,True,sports§neutral
"Yahan Insta following recommendation dI hai, Insta pe kahi @Ramshaakhann ki LinkedIn profile to nahi recommend kar di ??",negative,neutral,negative,negative,sports,False,sports§negative
lala ge mera birthday tha aj wish kr den plz,positive,positive,positive,positive,sports,True,sports§positive
bade lala ka pta nai chote nay bol dia,negative,negative,negative,negative,sports,True,sports§negative
No reply to me? Ap mujhe jealous kar rhe. ????,negative,negative,negative,negative,sports,True,sports§negative
Lala hume bhi lift karay dein plz ??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Thori si to lift kara den ??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
"Lala jav Lala ko hi reply kare ge kia , ab reply kar dein bachi ki jaan ly gay kia ??",neutral,negative,neutral,neutral,sports,False,sports§neutral
javed bhai plz lala ko kahy ky @safridizeenia ki poetry dekh lyn.,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Aapna Cell Phone He Thoordo ??????????,negative,negative,negative,negative,sports,True,sports§negative
Yaar ek Reply ??  lala ??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
behan ko bhi koi lift kara do :/??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Ma Sha Allah...shahid Afridi boht khush qismut hai..,positive,positive,positive,positive,sports,True,sports§positive
"Han to...jb hmara is event se koi relation hi nhi to q celebrate kren bhae...bs jo log krty hain wo smj jaen...fzool ka event lgta hai mjhy ye...Govt. ne b ban kr dya hai ab to..i appreciate this effort..ab to mri duaa hai k jldi wo din ae jb totally ban ho jae ye event...""jo kisi dusri quom ki mushabiht krta hai wo usi quom se hota hai""...Hadees hai ye ap ko pta hi ho ga..is lye mny anti valentine dp lga li..:-D",neutral,negative,neutral,neutral,sports,False,sports§neutral
"Aameen, nxt epi ka title nhi aya abhi tk...",neutral,neutral,neutral,neutral,sports,True,sports§neutral
Sahi kaha aur humara time guesses lga kr hi guzarta hai :),positive,positive,positive,positive,sports,True,sports§positive
"LOL, boht be-sabry hain hum Namlians...admin 25 se pehly sneak peek nhi detien :)",negative,negative,negative,negative,sports,True,sports§negative
haha...shi kha..25 me to bray days hain abhi..,positive,positive,positive,positive,sports,True,sports§positive
Mein ne to sun li :),neutral,neutral,neutral,neutral,sports,True,sports§neutral
Haha..ap ne is lye suni q k ap khud b asa hi sochti hain...pr jo nhi sochty unhy smjhana zra myshkil hai :).,negative,negative,negative,negative,sports,True,sports§negative
MashAllah so Cute daughters.Allah ink naseeb achy kry.Ameen!!Meri beti Soni Kardar b iski betion ki trhan cute si hai??,positive,positive,positive,positive,sports,True,sports§positive
Bhai apni nazar ka elaaj krwao,neutral,neutral,neutral,neutral,sports,True,sports§neutral
laally...ab tooo retire ho jaaa....es se pehle log tera dummy janaza nikalen...gharrooor ka sr neecha,negative,negative,negative,negative,sports,True,sports§negative
Shahid bhai aj ka match kon jeeta ha???,positive,neutral,positive,positive,sports,False,sports§positive
afridi bhai ankhirat ki team taiyyar karli k jo asal jaga tumhare liye khada ho k lade,neutral,negative,neutral,neutral,sports,False,sports§neutral
ap ne ahmad ko unfollow kyun kiya tha? ??,neutral,negative,neutral,neutral,sports,False,sports§neutral
Abhi tow Party shuro Hui ha,neutral,positive,neutral,neutral,sports,False,sports§neutral
Ye Kaam Be Mai Btaon ? Hasna Tha Ya Rona Koi Kaam To Khud karlo!,neutral,negative,neutral,neutral,sports,False,sports§neutral
Lala jani plz aj Psl ki khushi me mjhy 1 reply de dain na plz,positive,positive,positive,positive,sports,True,sports§positive
Asalam Alikum Wa Rahmatullah Hi Wabrakatuh:),positive,positive,positive,positive,sports,True,sports§positive
Lala ap agay,neutral,positive,neutral,neutral,sports,False,sports§neutral
"PSL tuk tuk dekhne nh Boundaries dekhne ate hen log, bowling pitch bana k ksne sazish?",negative,negative,negative,negative,sports,True,sports§negative
