text,sentiment,sourcesheet,unanimous,annotator_1,annotator_2,annotator_3
آپ اسے صرف 'کورٹ میرج' تک ہی محدود کر رہے ہیںجبکہ اس کے دوسرے اور بھی محرکات ہیں,neutral,politics,True,neu,neu,neu
صبر کریں یہ کیس خصوصی عدالت میں جائے گا ,positive,sports,True,pos,pos,pos
اوراء یہ سچ ہے کہ امریکہ کے اکثر باسیوں کو اپنےملک علاوہ کچھ نظر ہی‌نہیں آتا کالج کے زمانے کی بات ہے کہ ایک نارویجن اسٹوڈنٹ امریکہ میں ایک سال پڑھ کر واپس آیا اوربتایا کہ جب اسنے پہلی بار امریکیوں‌کو اپنا تعارف کر وایا تو انہوں‌نے  سوال پوچھے,neutral,dramas,True,neu,neu,neu
آج کا میچ تو سوا نو بجے ہی ختم ہوگیا,neutral,sports,True,neu,neu,neu
آپ کی ھمتحوصلہ لگن دیکھ کر دل سے دعا نکلتی ھے اللہ  آپ کو آپ کی محنت کا ثمر عطا کرے طبعیت ٹھیک نہیں  دعا کریں اللہ آرام دے,positive,politics,True,pos,pos,pos
ہر معاملے میں مغرب کی مثال شدید احساس کمتری ہے جو پاکستانی حکمرانوں کا وطیرہ بن گئی ہے,negative,politics,True,neg,neg,neg
گنگولی کا کاروبار بھی اچھا چلے گا,positive,sports,True,pos,pos,pos
چھا لگاہے یارا,positive,"software,blog and forum reviews",True,pos,pos,pos
نیشنل ایکشن پلان پر تنقید بلاجواز ہے,negative,politics,True,neg,neg,neg
اب وقت آگیا ہے کہ کرپشن کا خاتمہ ہو جائے,positive,politics,True,pos,pos,pos
بلکل سہی پنجاب میں بھی کاروائی ہونی چاہئیے,positive,politics,True,pos,pos,pos
مجیب رحمان شامی نے صرف ٠٠٠٠٠٠٠٠٠٠٠٠٠٠١ فیصد کاموں کا لوگوں کو بتایا ھے  لعنت ھے اسے تجربہ کار صحافی پر جو خود تحقیق نہیں کرتا بلکہ سنی ہوئی بات کو اگے کر دیتا ھے ,negative,politics,True,neg,neg,neg
اس سال کئی سوانحی فلمیں بھی بنیں اور نامزد بھی ہوئیں جیسے The Revennt بھی کسی حد تک سوانحی ہے اس کے علاوہ سپاٹ لائٹ Spotlight بھی سوانحی فلم ہے اور چھ ایوارڈز کے لیے نامزد ہوئی ہے اسی طرح ایک فلم ایپل کے بانی آنجہانی سٹیو جابز پر اسی نام Steve Jobs سے بننے والی فلم ہے,positive,dramas,True,pos,pos,pos
بہتر ہوتا اگر آپ سے کے بارے میں کچھ تصاویر بھی مہیا کر پاتے,positive,"software,blog and forum reviews",True,pos,pos,pos
الطاف بھائی کا انتخابی نشان ہے اور یہ مجھے ڈراتے رہتے ہیں سارے,negative,politics,True,neg,neg,neg
 پر ڈھیر ہو گئے ,negative,sports,True,neg,neg,neg
واقعی اس ورلڈ کپ نے تو دونوں ٹیموں کی عزت رول کر رکھ دی ہے,negative,sports,True,neg,neg,neg
بندہ اچھا ہے بس اس کو بات چیت کرنے کی تمیز نہیں,neutral,politics,True,neu,neu,neu
ہماری جان پاکستان پت#PTI زندباد زندباد عمران خان ہم اپ ک سات ہے,positive,politics,True,pos,pos,pos
آفریدی کی ففٹی ہونے دے شعیب یار,neutral,sports,True,neu,neu,neu
میرا خیال ہے فیصل آباد میں روزہ بند ہوگیا ہے,neutral,food and recipes,True,neu,neu,neu
یی ہر روز ٹی وی کو اشتہار دیتے ھیں اربوں روپے ایسے طرح خرچ کی گئے,neutral,politics,True,neu,neu,neu
جناب یہ پہلی نمائش ہے اصل کہانی ابھی باقی ہے ,positive,dramas,True,pos,pos,pos
یہ براوزر بہت ہی کمال کا براوزر ہے اس کی براوزنگ سپیڈ کے علاوہ اس کی ڈاونلوڈنگ سپیڈ بھی بہت کمال کی ہے میں نے اس کو ونڈو سیون پر یوز کیا ہے اس کی دکھاوٹ بہت ہی خوبصورت اور اس کے فیچرز بہت ہی کمال کے ہیں آج تک کے سبھی براوزر سے یہ براوزر بہت ہی منفرد دلکش اور سپیڈی ہے ,positive,"software,blog and forum reviews",True,pos,pos,pos
 خان صاحب اپنی جیب سے بنوایا ہے آپ نے فلائی اوور؟ ,neutral,politics,True,neu,neu,neu
آئین میں کوئی ایسا طریقہ ہے کے چھٹی کے لیے ہر صوبہ اپنی مرضی کا دن رکھ سکے ؟,neutral,politics,True,neu,neu,neu
کبوتر نہیں پہنچا ہے ابھی تک کئی دنوں سے انتظار کررہا ہوں کہیں کسی کبوتری کے پاس تو نہیں اٹک گیا؟,negative,dramas,True,neg,neg,neg
آپ ای بنائے گے اقبال کا پاکستان پاکستان زندہ باد اسدالرحمن چوہدری,positive,politics,True,pos,pos,pos
آج اے بی ڈیولیئر نے اُنہیں منہ دکھانے کے قابل نہیں چھوڑا,negative,sports,True,neg,neg,neg
لو جی یہی ترکیب تو میں آپکو لکھنے والا تھا بس یہ احتیاط رکھیئے کہ زردی ٹوٹنے نہ پائے اور تلتے ہوئے زردی سخت نہ ہو جائے,positive,food and recipes,True,pos,pos,pos
ذرائع کے مطابق تحریک طالبان نے پاکستان کے میچ ہارنے کی ذمہ داری قبول کر لی ہے شکست کا مرکز کوہِ ہندوکش سے دو ہزار کلومیٹر مشرق میں کلکتے کے مقام پہ تھا,negative,sports,True,neg,neg,neg
ان کو تو آپ پہچانتے ہی ہوں گے,neutral,sports,True,neu,neu,neu
آپکو کسنے کہا میں جنوبی افریقہ کا اسپورٹر ہوں؟  وہ الگ بات ہے کہ میرے جدول کے مطابق یہ ٹیم فائنل کھیلے گی اگر انکا ٹاکرا ویسٹ اینڈیز سے سیمی فائنل میں ہوگیا کیونکہ نیوزی لینڈ کو ہرانا مشکل لگ رہا ہے,neutral,sports,True,neu,neu,neu
جو اچھی اور بچوں والی ہو وہ اپنی غزل بٹیا کے لیئے الگ سنبھال لیتا ہوں  ,positive,dramas,True,pos,pos,pos
ذلت امیز شکست کے باوجود پاکستانی کپتان عظمت کا طلب گار ہے,neutral,sports,True,neu,neu,neu
کچے کیلے کے پکوڑے کبھی کھائے تو نہیں,negative,food and recipes,True,neg,neg,neg
اس چینل پر آپکو اچھی کوالٹی کی ویڈیوز دیکھنےکو ملے گی,positive,dramas,True,pos,pos,pos
غوں غاں  کچھ قابل فہم بات لکھ جس کا تجھے جواب بھی ملے,positive,politics,True,pos,pos,pos
یہ سی ڈی پراجیکٹ ابھی بازار میں دستیاب نہیں صرف مجھ سے براہ راست ہی طلب کیا جا سکتا ہے,neutral,"software,blog and forum reviews",True,neu,neu,neu
اللہ اس شخص کو ہدایت عقل اور سمجھ دے,positive,dramas,True,pos,pos,pos
بلکل بات چیت سے بڑے سے بڑے مسئلے حل ہو جائیں گے,positive,politics,True,pos,pos,pos
   آؤٹ ہیں زمبابوے کے بہت جی داری سے کھیلا ہے زمبابوے نے  سے اوپر کا اوسط ہے,neutral,sports,True,neu,neu,neu
اور اس دجالی دھاگے کے بارے کیا فرمائیں گے,negative,dramas,True,neg,neg,neg
وورز ,neutral,sports,True,neu,neu,neu
ٹائیم ٹریولر اپنی وائف کے پاسٹ میں اس کے بچپن میں بھی جا کر ملتا ہے  فیوچر میں بھی جا کر ملتا ہے  اور اینڈ بہت سنسنی خیز ہوتا ہے اس مووی کا ,negative,dramas,True,neg,neg,neg
     دیکھنے کا ارادہ ہے جب اچھے رزلٹ والا ٹورنٹ دستیاب ہو گا,positive,dramas,True,pos,pos,pos
یہ تو وہی بات ہوئی جب مولوی نکاہ سے پہلے دلہن سے پوچھتا ہے کیا تمہیں یہ نکاہ قبول ہے؟ ,positive,sports,True,pos,pos,pos
کب؟ سب خیریت رہی زیادہ  شدید تو نہ تھا؟,neutral,politics,True,neu,neu,neu
کھلے عام چوری کی ترغیب,negative,dramas,True,neg,neg,neg
یہ ڈرامہ کہا جاتا ہے کہ صرف سات دن میں‌بنایا گیا تھا بہت کمال کا ڈرامہ تھا,positive,dramas,True,pos,pos,pos
عجیب بات ہے جناب یہ خیال تو کسی بھی عقل والے کے ذہن میں نہیں آیا کہ کہ مکی کا مقصد محض اسلام اور قرآن کے خلاف مستشرقین اور ملحدین کی کتابوں میں کی گئی بکواسات اور گالیوں کو ایک جگہ جمع کرکے اچار ڈالنا ہے حضور اگر انکا یہی مقصد ہے اور یہ خلاف اسلام بھی نہیں تو آپ بھی اس سلسلسلے میں انکی مدد فرمائیں  دوستی کا حق پورا ادا کریں,negative,"software,blog and forum reviews",True,neg,neg,neg
دودھ میں ایک ٹی بیگ ڈالو اور کارن فلیکس ڈالو غذائیت بھی بھرپور اور ثقیل بھی نہیں ہو گا,negative,food and recipes,True,neg,neg,neg
باقیوں کو نہ بھی ملے مگر میرا تو بہت فائدہ ہوا,neutral,dramas,True,neu,neu,neu
مجھے نہیں معلوم ، اس پر کیا ریٹنگ دوں,negative,sports,True,neg,neg,neg
این افیئر تو ریمیمبر ,neutral,dramas,True,neu,neu,neu
وعلیکم السلام ماشاءاللہ بہت ہی بردست طریقے سے سمجھایا ہے اگر اس طرح کی ٹیچر مل جائیں تو واقعی شاگردوں کے لیئے کسی نعمت سے کم نہیں جزاک اللہ​,positive,"software,blog and forum reviews",True,pos,pos,pos
اور ساتھ جے وردھنے کا بھی آخری ٹورنامنٹ ہے,neutral,sports,True,neu,neu,neu
تیسری طرف خیبرپختواہ کی حکومت نے کمسن بچوں کو بیماریوں سے بچانے کی آگاہی مہم ' صحت کا انصاف' کا آغاز کیا ,positive,politics,True,pos,pos,pos
بہت ہی اچھی شیئرنگ ہے اکثر ضرورت پڑ جاتی ہے ان سائٹس کی,positive,"software,blog and forum reviews",True,pos,pos,pos
اور آٹا گوندھنا تو ہے ہی مشکل,negative,food and recipes,True,neg,neg,neg
جبکہ میرا ایک جملہ یوں بھی رہا ہے  اس سبب ہمارے علاوہ کچھ مزید اذہان میں مکی صاحب کی اس 'مہم' سے متعلق شکوک و شبہات کا پیدا ہونا   اور یہ جو ناچیز نے رد فتنہ انکار حدیث کے ضمن میں اتنی ساری کتب کے روابط فراہم کیے ہیں  اسے کیا کہا جائے گا؟,negative,"software,blog and forum reviews",True,neg,neg,neg
چائے بنانے کی آسان ترکیب یہی ہے کہ ریسٹورنٹ سے منگوا کر پی لی جائے,positive,food and recipes,True,pos,pos,pos
دیکھنے میں تو مزے کے لگ رہے ہیں لیکن ہیں تو پکوڑے ہی ناں,positive,food and recipes,True,pos,pos,pos
صرف ناشتہ؟ اور باقی دوپہر کا کھانا رات کا کھانا نہیں بناتی کیا؟,negative,food and recipes,True,neg,neg,neg
پاکستانی حکومت کبھی مولوی کے کہنے پر نہیں چلتی,negative,dramas,True,neg,neg,neg
فاتح بھیا ٹڈی کیا ہوتا ہے,neutral,food and recipes,True,neu,neu,neu
یعنی آپ کا بیک اپ کام ہے,neutral,"software,blog and forum reviews",True,neu,neu,neu
اور ساگ پکا کر تین دن بچوں سے کندھے بازو ہی دبواتی رہتی ہے  ,neutral,food and recipes,True,neu,neu,neu
بلکہ کھا کر بندہ اوون پر بیٹھ جائے زیادہ فریش پکیں گے ,neutral,food and recipes,True,neu,neu,neu
 پسند کرنے کا شکریہ مسعود بھائی ,positive,"software,blog and forum reviews",True,pos,pos,pos
اگر انڈیا کے ساتھ ہو تو پھر وہی معاملہ ہے,neutral,sports,True,neu,neu,neu
حمص سفید چنوں کا پیسٹ ہوتا ہے,neutral,food and recipes,True,neu,neu,neu
آدھا کپ چینی ,neutral,food and recipes,True,neu,neu,neu
انگلینڈ آج تک ورلڈ کپ میں ککس پر ہر میچ ہارا ہے,negative,sports,True,neg,neg,neg
مخالفین کے پاس کوئی منطق نہیں ہے لہذا تنقید برائے تنقید کر رہے ہیں,negative,politics,True,neg,neg,neg
 بہت خوب زبردست شیئرنگ ہے ,positive,"software,blog and forum reviews",True,pos,pos,pos
اللہ دے تاسو میڈیا والو تا ہدایت و کی کنی   دے پاکستان درنہ زر پاک کی,neutral,politics,True,neu,neu,neu
ہوسکتا ہے کھچڑی ہو اور کوئی کوّا بےہوش ہوکر اچانک اس میں گرگیا ہو,negative,food and recipes,True,neg,neg,neg
اب صرف اے بی کی فکر ہے,negative,sports,True,neg,neg,neg
یہ برساتی مینڈک ہیں جو کرکٹ ورلڈ کپ میں آ کر کرکٹ فین بن جاتے ہیں,positive,sports,True,pos,pos,pos
اس میں ترجمہ میں آپ بیٹی کے لئے استعمال کیا جس کی جگہ تم  استعمال کرنا تھا جناب,neutral,dramas,True,neu,neu,neu
مجھے فخر ہے کے عمران خان میرا لیڈر ہے ,positive,politics,True,pos,pos,pos
اللہ پاک بھائی کو والدین کے زیر سایہ صحت تندرستی عافیت کے ساتھ ایمان مزاج کی بہترین حالت والی لمبی زندگی عطا فرمائے آمین ثم آمین,positive,"software,blog and forum reviews",True,pos,pos,pos
لیکن الرجن پر بھی مضحکہ خیز کی ریٹنگ چہ معنی دارد؟ تکلیف دہ یا اذیت ناک جیسی ریٹنگز ہونی چاہییں ,negative,dramas,True,neg,neg,neg
ہسٹری چینل پر ایک نئی سیریز شروع ہوئی ہے Vikings کے نام سے ابھی چھ ہی اقساط آئی ہیں چھ کی چھ اتار لی ہیں میں ریٹنگز اور ٹریلرز سے تو اچھی چیز لگ رہی ہے,positive,dramas,True,pos,pos,pos
جہاں تک بات ہے ٹیکسٹ باکس کی تو سی شارپ کا سٹرنگ یونیکوڈ کو سپورٹ کرتا ہے اور کیبورڈ سے اردو ٹائپ ہو گی تو اردو ہی نظر آئے گی صرف دائیں سے بائیں کی پراپرٹی سیٹ کرنی ہو گی جو کہ اتنا مشکل کام نہیں ہونا چاہیےاور فانٹ فیمیلی کی پراپرٹی بھی اسی طرح سے سیٹ کر سکتے ہیں ,neutral,"software,blog and forum reviews",True,neu,neu,neu
 گھنٹے میں پہلا کوارٹرفائنل ہے یہ سب سے  کوارٹرفائنل لگ رہا ہے میری ٹپ یہ ہے کہ جرمنی بہتر کھیل رہا ہے اور اسے ہوم گراؤنڈ کا فائدہ بھی ہے اس لئے وہ  گول سے جیت جائے گا,positive,sports,True,pos,pos,pos
خود ہی خود کو آفت کہہ رہی ہو,negative,"software,blog and forum reviews",True,neg,neg,neg
میں پکاتا نہیں ہوں,negative,food and recipes,True,neg,neg,neg
اچھے وقتوں میں ہمارے استاد نے بہت سی بڑی بڑی دلیلیں اور آگے گندی گندی گالیاں دے کر سمجھا دیا تھا بچہ پی ایچ ڈی کرنی ہے تو پاکستان سے نہ کرنا ,negative,"software,blog and forum reviews",True,neg,neg,neg
بہت اچھا لکھا آپ نے,positive,"software,blog and forum reviews",True,pos,pos,pos
اور نبیل صاحب جب انڈے میں مرچیں ڈالتی ہوں تو اس کی گھٹلیاں سی بن جاتی ہیںان کا کیا کرنا ہے؟؟lol  wink ,neutral,food and recipes,True,neu,neu,neu
اس ڈپلومیٹ سے امید ہے کہ یہ نظام بدلے گا؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟,positive,politics,True,pos,pos,pos
واہ عی یی واہ,positive,dramas,True,pos,pos,pos
ایچ ٹی ایم ایل ٹیگز کے درمیان بنیادی ٹیگز جو ہونا لازمی ہیں وہ درج ذیل ہیں ,neutral,"software,blog and forum reviews",True,neu,neu,neu
س سے کیا ھوگا؟,neutral,politics,True,neu,neu,neu
زکریا بھائی آپ “ کھانے “ کی تراکیب بے شک نہ لکھیں وہ تو میں کسی نہ کسی طرح کھا ہی لوں گا بس آپ “ پکانے “ کی تراکیب لکھیں بلکہ پکے پکائے کی لکھ دیں تو میرے لیئے زیادہ آسانی ہو گی,neutral,food and recipes,True,neu,neu,neu
چارجر آٹو نہیں ہوتا مدر بورڈ میں اوور چارجنگ سے بچانے کا سرکٹ ہوتا ہے اس کے لیے اپنے لیپ ٹاپ مینوفیکچرر سے رابطہ کریں,negative,"software,blog and forum reviews",True,neg,neg,neg
یہ کلائنٹ کا سافٹوئیر ہے جو اپنی رپورٹیں ح ٹ م ل فارمیٹ میں جنریٹ کرتا ہے یہ پیجز ہسٹری سے بغیرکسی سیکورٹی کے اوپن ہو جاتے ہیں میں ان کا کچھ سوچ رہا تھا,negative,"software,blog and forum reviews",True,neg,neg,neg
اگر گلٹیاں بنتی ہیں تو چمچ کی بجائے کانٹا استعمال کریں,neutral,food and recipes,True,neu,neu,neu
اچھی چیز شروع کی ہے آپ نے ندیم  امید ہے اور لوگ بھی اس پر طبع آزمائی کریں گے میں فی الحال اتنا جانتا ہوں کہ پارٹنر کسی انگلش فلم کی کاپی ہے,positive,dramas,True,pos,pos,pos
ترکیب تو سادہ و آسان ہے ,positive,food and recipes,True,pos,pos,pos
مجھے کوئٹہ والوں کی فائٹنگ اسپرٹ نے بہت متاثر کیا ,positive,sports,True,pos,pos,pos
شیخ صاب آجکل نون کے حلق میں پھنسا ہوا ہے اس لیے اس طرح کی چھوٹی چھوٹی چیزوں کو ایشو بنارہے ہیں,negative,politics,True,neg,neg,neg
ایڈونچرز آف ٹن ٹن والی شپ لگ رہی اس میں کوئی خزانہ تو نہیں چھپا نہ ؟ ,negative,dramas,True,neg,neg,neg
ر مکھن کا فلیور بڑا اچھا آتا ہے,positive,food and recipes,True,pos,pos,pos
ہمارے پاس جو لینکس سیٹلائٹ رسیور ہے اسمیں تین سیٹلائٹس کے چینلز آتے ہیں کل ملا کر تعداز ہزار سے اوپر ہے,neutral,dramas,True,neu,neu,neu
محفلین اتنے ڈر کیوں رہے ہیں,negative,"software,blog and forum reviews",True,neg,neg,neg
ایسی بھی کوئی بات نہیں تھوڑے بہت آثار باقی ہیں,negative,dramas,True,neg,neg,neg
دیکھو اب مجھے ڈنڈے نہ مارو میں تم کو پرانا جانتا ہوں اس لیے ہوشیار ورنہ سب راز فاش کردونگا اور تمھار وہ نک بھی بتادوں گا,negative,"software,blog and forum reviews",True,neg,neg,neg
اب بھی بیک گراؤنڈ لیئر انوژیبل نہیں ہےp میک اِٹ انوژیبل وتھ اولڈ افیکٹس اینڈ سیو ان پی این جی 24 فارمیٹ سیو ایز ویب پیجd کنٹرول  آلٹ  شفٹ پلس ایس,negative,"software,blog and forum reviews",True,neg,neg,neg
بہت خوب مزید جاری رکھیں,positive,sports,True,pos,pos,pos
محب انگلستان اگر جیت جاتا تو بھی اس کا مقابلہ ایکویڈور سے ہوتا,positive,sports,True,pos,pos,pos
اس انداز میں استعمال کیسا رہے گا؟؟,neutral,"software,blog and forum reviews",True,neu,neu,neu
ارے واه  بھت ھی عمده تھریڈ بنایا ھے شکریه,positive,"software,blog and forum reviews",True,pos,pos,pos
ڈی ولیئرز کی گال نہیں گلی بوم بوم ڈی ولیئرز,negative,sports,True,neg,neg,neg
 اوور میں  سکور ہے اور کوئی کھلاڑی آؤٹ نہیں,positive,sports,True,pos,pos,pos
مزید اسی طرح بہترین تھریڈز کا انتظاررہیگا,positive,"software,blog and forum reviews",True,pos,pos,pos
سارہ خان حاضر ہوں ہماری بہن کو ٹڈی دکھائی جائے,neutral,food and recipes,True,neu,neu,neu
ترکیب کی شراکت پر بہت شکریہ ,positive,food and recipes,True,pos,pos,pos
اور کھیل ختم  رن سے فاتح ہندوستان,positive,sports,True,pos,pos,pos
